,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
221,1,1,229,20001116,Mason 12' Jump Shot (6 PTS),,8:08,3,4,0,0,193,Anthony Mason,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,42 - 49,7,,1:31 PM
222,1,5,230,20001116,Mason STEAL (1 STL),,7:52,3,5,4,0,243,Aaron McKie,PHI,Philadelphia,1610612755,76ers,193,Anthony Mason,MIA,Miami,1610612748,Heat,0,,,,,,,,McKie Bad Pass Turnover (P4.T11),1:31 PM
223,1,2,231,20001116,MISS Bowen 25' 3PT Jump Shot,,7:44,3,4,0,0,1477,Bruce Bowen,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:32 PM
224,0,4,232,20001116,,,7:42,3,5,0,0,243,Aaron McKie,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,McKie REBOUND (Off:0 Def:2),1:32 PM
225,5,2,233,20001116,Majerle BLOCK (1 BLK),,7:34,3,5,0,4,238,Tyrone Hill,PHI,Philadelphia,1610612755,76ers,0,,,,,,105,Dan Majerle,MIA,Miami,1610612748,Heat,,,MISS Hill  Layup,1:32 PM
226,0,8,234,20001116,,,7:32,3,5,5,0,248,George Lynch,PHI,Philadelphia,1610612755,76ers,1934,Rodney Buford,PHI,Philadelphia,1610612755,76ers,0,,,,,,,,SUB: Buford FOR Lynch,1:32 PM
227,0,10,236,20001116,Jump Ball Bowen vs. Hill: Tip to,,7:32,3,4,5,3,1477,Bruce Bowen,MIA,Miami,1610612748,Heat,238,Tyrone Hill,PHI,Philadelphia,1610612755,76ers,1610612755,,,,,,,,,1:32 PM
228,0,4,237,20001116,,,7:32,3,3,0,0,1610612755,,,,,,0,,,,,,0,,,,,,,,76ers Rebound,1:32 PM
229,4,7,238,20001116,Majerle Violation:Jump Ball,,7:31,3,4,0,1,105,Dan Majerle,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:33 PM
230,1,1,239,20001116,,,7:19,3,5,5,0,238,Tyrone Hill,PHI,Philadelphia,1610612755,76ers,243,Aaron McKie,PHI,Philadelphia,1610612755,76ers,0,,,,,,44 - 49,5,Hill 7' Jump Shot (7 PTS) (McKie 2 AST),1:34 PM
231,1,1,240,20001116,Majerle 9' Jump Shot (5 PTS),,6:59,3,4,0,0,105,Dan Majerle,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,44 - 51,7,,1:34 PM
232,42,2,241,20001116,,,6:38,3,5,0,0,947,Allen Iverson,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,MISS Iverson  Driving Layup,1:34 PM
233,0,4,242,20001116,HEAT Rebound,,6:38,3,2,0,0,1610612748,,,,,,0,,,,,,0,,,,,,,,,1:34 PM
234,3,6,243,20001116,,,6:38,3,5,0,1,87,Dikembe Mutombo,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,Mutombo L.B.FOUL (P2.T1),1:34 PM
235,1,6,244,20001116,,,6:30,3,5,0,1,243,Aaron McKie,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,McKie P.FOUL (P1.T2),1:35 PM
236,1,9,246,20001116,HEAT Timeout: Regular (Full 3 Short 1),,6:30,3,2,0,0,1610612748,,,,,,0,,,,,,0,,,,,,,,,1:35 PM
237,1,2,247,20001116,MISS Hardaway 22' Jump Shot,,6:16,3,4,0,0,896,Tim Hardaway,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:38 PM
238,0,4,248,20001116,,,6:14,3,5,0,0,243,Aaron McKie,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,McKie REBOUND (Off:0 Def:3),1:38 PM
239,1,6,249,20001116,Bowen P.FOUL (P2.T3),,5:55,3,4,0,1,1477,Bruce Bowen,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:38 PM
240,42,2,250,20001116,,,5:44,3,5,0,0,1934,Rodney Buford,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,MISS Buford  Driving Layup,1:39 PM
241,0,4,251,20001116,,,5:40,3,5,0,0,87,Dikembe Mutombo,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,Mutombo REBOUND (Off:1 Def:4),1:39 PM
242,8,1,252,20001116,,,5:39,3,5,0,0,87,Dikembe Mutombo,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,46 - 51,5,Mutombo  Slam Dunk (2 PTS),1:39 PM
243,1,6,253,20001116,,,5:29,3,5,0,1,238,Tyrone Hill,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,Hill P.FOUL (P3.T3),1:39 PM
244,0,8,254,20001116,,,5:29,3,5,5,0,243,Aaron McKie,PHI,Philadelphia,1610612755,76ers,727,Eric Snow,PHI,Philadelphia,1610612755,76ers,0,,,,,,,,SUB: Snow FOR McKie,1:39 PM
245,2,7,255,20001116,,,5:21,3,3,0,1,1610612755,,,,,,0,,,,,,0,,,,,,,,76ers Violation: Def. Goaltending Violation,1:40 PM
